# Added by Stas Vlasov
" CO OF AMERICA "," CORP " # 2018-01-02
" KABUSAHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUISHIKI KAISHA ", " KABUSHIKI KAISHA "
" JABUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" AKBUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" BABUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" BUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" DABUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" DENKIKABUSHIKI KAISHA ", " DENKI KABUSHIKI KAISHA "
" FABUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABHUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" HATSUDOKIKABUSHIKI KAISHA ", " HATSUDOKI KABUSHIKI KAISHA "
" KABSUBSHIKI KAISHA ", " KABUSHIKI KAISHA "
" JIDOSHAKABUSHIKI KAISHA ", "JIDOSHA KABUSHIKI KAISHA "
" JUKOGYOKABUSHIKI KAISHA ", " JUKOGYO KABUSHIKI KAISHA "
" KABAHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABASHIKA KAISHA ", " KABUSHIKI KAISHA "
" KABASIKI KAISHA ", " KABUSHIKI KAISHA "
" KABBUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABHSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABISHA KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIKIKI KAISHA ", " KABUSHIKI KAISHA "
" KAKUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KATUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KEBUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KEBUSKIKI KAISHA ", " KABUSHIKI KAISHA "
" KAIBUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KOGYOOKABUSHIKI KAISHA ", " KOGYO KABUSHIKI KAISHA "
" KAIBSHIKI KAISHA ", " KABUSHIKI KAISHA "
" LABUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" SHOKUHINKABUSHIKI KAISHA ", " SHOKUHIN KABUSHIKI KAISHA "
" KOGYOLKABUSHIKI KAISHA ", " KOGYO KABUSHIKI KAISHA "
" KABUSHISHI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIKE KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIKHI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIKII KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIKIK KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIKU KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIMI KAISHA ", " KABUSHIKI KAISHA "
" KAISHUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHINKI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHIBI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHKIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUSIHI KAISHA ", " KABUSHIKI KAISHA "
" KABUSSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUSYIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABYSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KAHUSHIKI KAISHA ", " KABUSHIKI KAISHA "
" KABUSHINI KAISHA ", " KABUSHIKI KAISHA "
