" INDTY "," INDEMNITY "
" INFORMATN "," INFO "
" INSTNS "," INSTITUTIONS "
" INSTRUMEN "," INSTRUMENTS "
" INSTRUMNT "," INSTRUMENTS "
" INTEGRATRS "," INTEGRATORS "
" INTERNATIONL "," INT "
" INVS "," INVESTMENTS "
" INVT "," INVESTMENT "
" MANAGEMNT "," MANAGEMENT "
" MANAGMNT "," MANAGEMENT "
" MANHATN "," MANHATTAN "
" MANUF "," MFG "
" MDSE "," MERCHANDISING "
" MEASURMNT "," MEASUREMENT "
" MERCHNDSNG "," MERCHANDISING "
" MGMT "," MANAGEMENT "
" MGRS "," MANAGERS "
" MGT "," MANAGEMENT "
" MICROWAV "," MICROWAVE "
" MKTS "," MARKETS "
" MLTIMEDIA "," MULTIMEDIA "
" MTG "," MORTGAGE "
" MTNS "," MOUTAINS "
" MTRS "," MOTORS "
" NETWRK "," NETWORK "
" NOWEST "," NORTHWEST "
" NTWRK "," NETWORK "
" OFFSHRE "," OFFSHORE "
" ORGANIZTN "," ORG "
" PBLG "," PUBLISHING "
" PHARMACEUTICL "," PHARM "
" PLAST "," PLASTICS "
" PPTYS "," PROPERTIES "
" PRODS "," PROD "
" PRODTN "," PRODN "
" PRODUCTN "," PRODN "
" PRPANE "," PROPANE "
" PTS "," PARTS "
" PUBLISH "," PUBLISHING "
" PUBLSHING "," PUBLISHING "
" PUBN "," PUBLICATIONS "
" PUBNS "," PUBLICATIONS "
" PWR "," POWER "
" RAILRD "," RAILROAD "
" RECREATN "," RECREATION "
" RECYCL "," RECYCLING "
" REFIN "," REFINING "
" REFNG "," REFINING "
" RESTR "," RESTAURANT "
" RESTS "," RESTAURANTS "
" RETAILNG "," RETAILING "
" RLTY "," REALTY "
" RR "," RAILROAD "
" RSCH "," RESEARCH "
" RTNG "," RATING "
" SCIENTIF "," SCIENTIFIC "
" SERV "," SERVICES "
" SLTNS "," SOLUTIONS "
" SOFTWRE "," SOFTWARE "
" SOLTNS "," SOLUTIONS "
" SOLUT "," SOLUTIONS "
" SRVC "," SERVICES "
" SRVCS "," SERVICES "
" STEAKHSE "," STEAKHOUSE "
" STHWST "," SOUTHWEST "
" STL "," STEEL "
" STRS "," STORES "
" SUP "," SUPPLY "
" SUPERMKTS "," SUPERMARKETS "
" SUPP "," SUPPLIES "
" SURVYS "," SURVEYS "
" SVC "," SERVICES "
" SVCS "," SERVICES "
" SVSC "," SERVICES "
" SYS "," SYSTEMS "
" SYSTM "," SYSTEMS "
" TCHNLGY "," TECH "
" TECHNGS "," TECHNOLOGIES "
" TECHNL "," TECH "
" TECHNLGIES "," TECHNOLOGIES "
" TEL "," TELEPHONE "
" TELE-COMM "," TELECOMMUNICATIONS "
" TELE-COMMUN "," TELECOMMUNICATIONS "
" TELECOMMS "," TELECOMMUNICATIONS "
" TELECONFERENC "," TELECONFERENCING "
" TELEG "," TELEGRAPH "
" TELEGR "," TELEGRAPH "
" TELVSN "," TELEVISION "
" TR "," TRUST "
" TRANSN "," TRANSPORTATION "
" TRANSPORTN "," TRANSPORTATION "
" TRNSACTN "," TRANSACTION "
" UTD "," UNITED "
" WSTN "," WESTERN "
" WTR "," WATER "
"NORTH AMERICAN PHILIPS CORP"," U.S. PHILIPS CORPORATION " 
"WILLIAMS (A.L.) CORP"," A. L. WILLIAMS CORP. " 
"GOODRICH CORP"," B. F. GOODRICH CO. " 
"BELL & HOWELL OPERATING CO"," BELL + HOWELL COMPANY " 
"BENDIX CORP"," BENDIX CORPORATION(NOW ALLIED-SIGNAL INC.) " 
"BORGWARNER INC"," BORG-WARNER CORPORATION " 
"CHRYSLER CORP"," CHRYSLER MOTORS CORPORATION " 
"CISCO SYSTEMS INC"," CISCO TECHNOLOGY, INC. " 
"DELL INC"," DELL PRODUCTS, L.P. " 
"DELPHI CORP"," DELPHI TECHNOLOGIES, INC. " 
"DU PONT (E I) DE NEMOURS"," E. I. DU PONT DE NEMOURS AND COMPANY " 
"SQUIBB CORP"," E. R. SQUIBB + SONS, INC. " 
"LILLY (ELI) & CO"," ELI LILLY AND COMPANY " 
"SEARLE (G.D.) & CO"," G. D. SEARLE & CO. " 
"3M CO"," MINNESOTA MINING AND MANUFACTURING COMPANY " 
"OWENS CORNING"," OWENS-CORNING FIBERGLAS CORPORATION " 
"SCHLUMBERGER LTD"," SCHLUMBERGER TECHNOLOGY CORPORATION " 
"SICMED LIFE SYSTEMS"," SCI-MED LIFE SYSTEMS, INC. " 
"TDK CORP"," TDK CORPORATION " 
"U S SURGICAL CORP"," UNITED STATES SURGICAL CORPORATION " 
"GRACE (W R) & CO"," W. R. GRACE & CO. " 
"WESTINGHOUSE ELEC"," WESTINGHOUSE ELECTRIC CORP. " 

